Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
"nuts, nut products and seeds",26/11/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",28/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",29/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
"nuts, nut products and seeds",31/12/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan,
fish and fish products,23/03/2000,information,,France,,,undecided,Tanzania,
fish and fish products,14/06/2002,information,,Greece,import not authorised,,undecided,Tanzania,
fish and fish products,24/09/2002,information,,Italy,import not authorised,,undecided,Tanzania,
fish and fish products,28/07/2003,information,border control - consignment released,Italy,,,undecided,Tanzania,
fish and fish products,23/11/2004,information,border control - consignment released,Germany,no action taken,product already consumed,undecided,Tanzania,
fish and fish products,14/09/2009,information,border control - consignment released,Italy,return to consignor,no distribution,undecided,Tanzania,
fish and fish products,12/10/2009,border rejection,border control - consignment detained,Germany,re-dispatch or destruction,no distribution,undecided,Tanzania,
fish and fish products,04/06/2014,information for follow-up,border control - consignment released,Germany,informing authorities,distribution to other member countries,not serious,Tanzania,
fish and fish products,12/05/2016,information for follow-up,border control - consignment released,Germany,,distribution to other member countries,not serious,Tanzania,
molluscs and products thereof - (obsolete),11/02/2005,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Tanzania,
molluscs and products thereof - (obsolete),25/04/2005,information,border control - consignment detained,Portugal,re-dispatch,no distribution,undecided,Tanzania,
"nuts, nut products and seeds",30/01/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Tanzania,
fish and fish products,14/03/2005,alert,border control - consignment released,Italy,re-dispatch,distribution on the market (possible),undecided,Tunisia,
molluscs and products thereof - (obsolete),23/11/1999,information,,Italy,import not authorised,,undecided,Tunisia,
crustaceans and products thereof,12/10/2000,information,,Italy,import not authorised,,undecided,Tunisia,
poultry meat and poultry meat products,19/10/2000,information,,Italy,import not authorised,,undecided,Tunisia,
poultry meat and poultry meat products,23/01/2002,information,,Italy,import not authorised,,undecided,Tunisia,
molluscs and products thereof - (obsolete),20/12/2002,information,,Italy,,,undecided,Tunisia,
molluscs and products thereof - (obsolete),03/03/2003,information,border control - consignment detained,Italy,Screening sample,,undecided,Tunisia,
bivalve molluscs and products thereof,08/11/2007,information,border control - consignment released,Italy,withdrawal from recipient(s),product past use-by date,undecided,Tunisia,
poultry meat and poultry meat products,15/02/2010,information,border control - consignment released,Italy,recall from consumers,distribution restricted to notifying country,undecided,Tunisia,
gastropods,20/04/2010,information,official control on the market,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Tunisia,
bivalve molluscs and products thereof,15/11/2011,information for attention,border control - consignment released,Italy,informing authorities,product already consumed,undecided,Tunisia,
meat and meat products (other than poultry),19/02/2014,information for attention,border control - consignment released,Italy,informing authorities,distribution restricted to notifying country,undecided,Tunisia,
bivalve molluscs and products thereof,23/12/2015,information for attention,border control - consignment released,Portugal,,distribution restricted to notifying country,serious,Tunisia,
bivalve molluscs and products thereof,15/02/2016,information for attention,border control - consignment released,Italy,informing authorities,distribution restricted to notifying country,serious,Tunisia,
bivalve molluscs and products thereof,23/05/2016,border rejection,border control - consignment detained,Italy,destruction,product not (yet) placed on the market,serious,Tunisia,
fish and fish products,18/01/2010,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Uganda,
herbs and spices,13/12/2011,alert,official control on the market,Denmark,withdrawal from the market,distribution to other member countries,undecided,Uganda,
herbs and spices,04/06/2013,border rejection,border control - consignment detained,Finland,placed under customs seals,product not (yet) placed on the market,serious,Uganda,
herbs and spices,04/06/2013,border rejection,border control - consignment detained,Finland,,product not (yet) placed on the market,serious,Uganda,
fruits and vegetables,11/05/2016,border rejection,border control - consignment detained,Finland,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",17/08/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda,
"nuts, nut products and seeds",19/08/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda,
"nuts, nut products and seeds",19/08/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda,
"nuts, nut products and seeds",16/03/2018,border rejection,border control - consignment detained,Netherlands,import not authorised,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",01/08/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",03/08/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",20/08/2018,border rejection,border control - consignment detained,Germany,import not authorised,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",20/08/2018,border rejection,border control - consignment detained,Germany,import not authorised,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",21/08/2018,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",15/01/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",27/03/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",02/05/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",08/05/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",14/05/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",21/05/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",03/06/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",05/06/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",05/06/2019,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",18/06/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",19/06/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",27/06/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",01/07/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",08/07/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",08/07/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",10/07/2019,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
herbs and spices,07/08/2019,alert,official control on the market,United Kingdom,recall from consumers,distribution to other member countries,serious,Uganda,
"nuts, nut products and seeds",29/08/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",18/11/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",24/12/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda,
"nuts, nut products and seeds",30/12/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda,
meat and meat products (other than poultry),17/07/2018,information for follow-up,official control on the market,Netherlands,informing consignor,distribution to other member countries,not serious,Zimbabwe,
