Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
cephalopods and products thereof,26/09/2011,border rejection,border control - consignment detained,Italy,re-dispatch or destruction,no distribution,undecided,Madagascar,
herbs and spices,15/09/2017,border rejection,border control - consignment detained,Finland,official detention,product not (yet) placed on the market,serious,Madagascar,
"nuts, nut products and seeds",03/06/2016,alert,official control on the market,Netherlands,withdrawal from recipient(s),distribution to other member countries,serious,Mali,
herbs and spices,27/08/2009,information,official control on the market,United Kingdom,physical treatment - heat treatment,distribution restricted to notifying country,undecided,Mauritius,
molluscs and products thereof - (obsolete),23/01/2003,information,border control - consignment detained,Spain,import not authorised,,undecided,Morocco,
molluscs and products thereof - (obsolete),01/07/2005,information,border control - consignment detained,Greece,re-dispatch,no distribution,undecided,Morocco,
herbs and spices,06/11/2006,alert,official control on the market,Luxembourg,informing recipient(s),distribution on the market (possible),undecided,Morocco,
cephalopods and products thereof,10/08/2009,information,border control - consignment released,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Morocco,
herbs and spices,21/01/2013,information for attention,official control on the market,United Kingdom,recall from consumers,distribution restricted to notifying country,serious,Morocco,
gastropods,11/07/2018,information for attention,official control on the market,Spain,,information on distribution not (yet) available,not serious,Morocco,
crustaceans and products thereof,22/01/1999,information,,France,,,undecided,Mozambique,
meat and meat products (other than poultry),16/10/2000,information,,Norway,import not authorised,,undecided,Namibia,
meat and meat products (other than poultry),16/05/2002,information,,Norway,import not authorised,,undecided,Namibia,
meat and meat products (other than poultry),05/06/2002,information,,Norway,import not authorised,,undecided,Namibia,
meat and meat products (other than poultry),05/06/2002,information,,Norway,import not authorised,,undecided,Namibia,
meat and meat products (other than poultry),05/06/2002,information,,Norway,import not authorised,,undecided,Namibia,
prepared dishes and snacks,11/06/2002,information,,Norway,import not authorised,,undecided,Namibia,
meat and meat products (other than poultry),09/08/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia,
meat and meat products (other than poultry),09/08/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia,
meat and meat products (other than poultry),09/08/2002,information,,Norway,prohibition to trade - sales ban,,undecided,Namibia,
meat and meat products (other than poultry),19/08/2002,information,,Norway,,,undecided,Namibia,
meat and meat products (other than poultry),27/05/2003,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia,
meat and meat products (other than poultry),03/10/2003,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia,
meat and meat products (other than poultry),21/11/2003,information,border control - consignment detained,Norway,destruction,,undecided,Namibia,
meat and meat products (other than poultry),15/03/2004,information,official control on the market,Norway,destruction,,undecided,Namibia,
meat and meat products (other than poultry),15/06/2004,information,border control - consignment detained,Norway,re-dispatch,,undecided,Namibia,
meat and meat products (other than poultry),05/07/2004,alert,official control on the market,Norway,prohibition to trade - sales ban,,undecided,Namibia,
meat and meat products (other than poultry),14/09/2004,information,official control on the market,Norway,prohibition to trade - sales ban,distribution restricted to notifying country,undecided,Namibia,
meat and meat products (other than poultry),15/10/2004,information,official control on the market,Norway,return to consignor,distribution restricted to notifying country,undecided,Namibia,
